Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.016508,0.0044108,0.24867,0,0,0,10,0.50574,-0.002361,0.0038963,0.50036,0.11717,0.43091,0,0,0,0,0,0,package://wheelchair_description/meshes/base_link.STL,0.63922,0.66667,0.67843,1,0,0,0,0,0,0,package://wheelchair_description/meshes/base_link.STL,,SideFrame-1;Arm-2;Arm-1;ArmPad-1;Back-1;Seat-1;BackPlate-1;Grip-1;Grip-2;MiniBreadboard-1;ArmPad-2,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_left_link,-0.0381,-2.498E-16,-1.1102E-16,0,0,0,1,0.056951,5.4213E-18,-1.6817E-18,0.028611,-2.9984E-17,0.028611,0,0,0,0,0,0,package://wheelchair_description/meshes/wheel_left_link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://wheelchair_description/meshes/wheel_left_link.STL,,WheelLarge-2,Origin_wheel_left_joint2,Axis_wheel_left_joint2,wheel_left_joint,continuous,-0.2413,-0.14129,0.0635,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
wheel_right_link,0.0381,2.7756E-17,0,0,0,0,1,0.056951,-5.6452E-21,1.2476E-18,0.028611,3.59E-19,0.028611,0,0,0,0,0,0,package://wheelchair_description/meshes/wheel_right_link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://wheelchair_description/meshes/wheel_right_link.STL,,WheelLarge-1,Origin_wheel_right_joint2,Axis_wheel_right_joint2,wheel_right_joint,continuous,0.2095,-0.14129,0.0635,0,0,0,base_link,1,0,0,,,,,,,,,,,,
imu_link,0.0075527,1.3878E-17,0.0001159,0,0,0,0.0001,1.6454E-08,-3.7821E-23,-1.306E-11,4.6169E-08,2.8315E-26,2.9895E-08,0,0,0,0,0,0,package://wheelchair_description/meshes/imu_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://wheelchair_description/meshes/imu_link.STL,,MPU 6050 IMU-1/Base-1,Origin_imu_joint2,Axis_imu_joint2,imu_joint,fixed,-0.11663,-0.29369,0.55255,-1.5708,0,-1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,
support_small_left_wheel_link,0.023813,0.0069503,-0.016441,0,0,0,0.1,0.0001406,1.3515E-11,5.252E-12,0.00015091,-3.0634E-05,4.0905E-05,0,0,0,0,0,0,package://wheelchair_description/meshes/support_small_left_wheel_link.STL,0.63922,0.66667,0.67843,1,0,0,0,0,0,0,package://wheelchair_description/meshes/support_small_left_wheel_link.STL,,Caster-1/CasterFork-1,Coordinate System2,Axis4,support_small_left_wheel_joint,prismatic,-0.23971,0.2776,-0.0381,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
small_left_wheel_link,-4.7244E-13,0,-1.1102E-16,0,0,0,0.2,0.00077012,-7.3968E-20,-2.6043E-21,0.00040333,-9.7969E-21,0.00040333,0,0,0,0,0,0,package://wheelchair_description/meshes/small_left_wheel_link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://wheelchair_description/meshes/small_left_wheel_link.STL,,Caster-1/WheelSmall-1,Origin_small_wheel_left_joint3,Axis1,small_left_wheel_joint,continuous,0.023813,-0.037465,-0.10795,0,0,0,support_small_left_wheel_link,1,0,0,,,,,,,,,,,,
support_small_right_wheel_link,-0.023812,0.0069503,-0.016441,0,0,0,0.1,0.0001406,1.3515E-11,5.252E-12,0.00015091,-3.0634E-05,4.0905E-05,0,0,0,0,0,0,package://wheelchair_description/meshes/support_small_right_wheel_link.STL,0.63922,0.66667,0.67843,1,0,0,0,0,0,0,package://wheelchair_description/meshes/support_small_right_wheel_link.STL,,Caster-2/CasterFork-1,Coordinate System3,Axis3,support_small_right_wheel_joint,revolute,0.20791,0.2776,-0.0381,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
small_right_wheel_link,-4.724E-13,1.1102E-16,0,0,0,0,0.2,0.00077012,-9.9115E-20,-2.0641E-20,0.00040333,-3.6137E-20,0.00040333,0,0,0,0,0,0,package://wheelchair_description/meshes/small_right_wheel_link.STL,0.79608,0.82353,0.93725,1,0,0,0,0,0,0,package://wheelchair_description/meshes/small_right_wheel_link.STL,,Caster-2/WheelSmall-1,Origin_small_wheel_left_joint4,Axis2,small_right_wheel_joint,continuous,-0.023813,-0.037465,-0.10795,0,0,0,support_small_right_wheel_link,1,0,0,,,,,,,,,,,,
tube_link,0.17001,0.34536,4.4447E-07,0,0,0,0.2,0.035276,-1.0664E-06,-9.6623E-10,0.02534,-8.3706E-08,0.060499,0,0,0,0,0,0,package://wheelchair_description/meshes/tube_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheelchair_description/meshes/tube_link.STL,,tube-1,Origin_tube_joint,,tube_joint,fixed,-0.1859,-0.1665,0.61171,1.7382,0,0,base_link,0,0,0,,,,,,,,,,,,
suport_kinect_link,0.051167,0.0049431,0.010925,0,0,0,0.1,0.00022677,-3.1806E-06,-8.2492E-06,0.00034306,-2.6691E-05,0.00035153,0,0,0,0,0,0,package://wheelchair_description/meshes/suport_kinect_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheelchair_description/meshes/suport_kinect_link.STL,,SuportKinect-1,Origin_suport_kinect_joint2,Axis_suport_kinect_joint2,suport_kinect_joint,continuous,0.1227,0.56,0,-1.7217,0,0,tube_link,-1,0,0,,,,,,,,,,,,
base_scan_link,0.0024108,0.029813,-0.00022943,0,0,0,0.1,0.00042557,-1.2761E-06,-2.5256E-06,0.0029638,5.4138E-06,0.0030051,0,0,0,0,0,0,package://wheelchair_description/meshes/base_scan_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://wheelchair_description/meshes/base_scan_link.STL,,final kinect-1,Origin_scan_joint2,,scan_joint,fixed,0.048003,0.014586,0.048176,1.5708,0,-3.1416,suport_kinect_link,0,0,0,,,,,,,,,,,,
support_right_feet_link,-0.077977,-0.06731,0.011295,0,0,0,1,0.00090312,3.7604E-19,-0.00022026,0.0020199,3.2526E-19,0.0027349,0,0,0,0,0,0,package://wheelchair_description/meshes/support_right_feet_link.STL,0.49412,0.49412,0.49412,1,0,0,0,0,0,0,package://wheelchair_description/meshes/support_right_feet_link.STL,,FootRest-2,Coordinate System5,,support_right_feet_joint,fixed,0.20315,0.62055,-0.10628,0.34907,0,0,base_link,0,0,0,,,,,,,,,,,,
support_left_feet_link,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,package://wheelchair_description/meshes/support_left_feet_link.STL,1,1,1,1,0,0,0,0,0,0,package://wheelchair_description/meshes/support_left_feet_link.STL,,FootRest-1,Coordinate System4,,support_left_feet_joint,fixed,-0.23495,0.62055,-0.10628,0.34907,0,0,base_link,0,0,0,,,,,,,,,,,,
