Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00177519682816096,0.00438275874249194,0.249702317139859,0,0,0,6.29281305290745,0.503873403409178,-0.00231204284547913,0.00206024886219675,0.497008048380022,0.117127997749402,0.429421452680755,0,0,0,0,0,0,package://wheelchair_description4/meshes/base_link.STL,0.63921568627451,0.666666666666667,0.67843137254902,1,0,0,0,0,0,0,package://wheelchair_description4/meshes/base_link.STL,,SideFrame-1;Arm-2;Arm-1;ArmPad-1;Back-1;Seat-1;BackPlate-1;Grip-1;Grip-2;MiniBreadboard-1;ArmPad-2,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_left_link,-0.0381000000000808,-2.77555756156289E-17,-2.22044604925031E-16,0,0,0,1.30921695491721,0.0569509792751589,6.00367688589879E-18,3.57342024618586E-19,0.0286107909945072,1.02570395956576E-18,0.0286107909945072,0,0,0,0,0,0,package://wheelchair_description4/meshes/wheel_left_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://wheelchair_description4/meshes/wheel_left_link.STL,,WheelLarge-2,Origin_wheel_left_joint2,Axis_wheel_left_joint2,wheel_left_joint,continuous,-0.2254,-0.1412875,0.0635000000000001,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
wheel_right_link,0.0381000000000812,-8.32667268468867E-17,1.11022302462516E-16,0,0,0,1.30921695491724,0.0569509792751599,4.58754367721819E-18,5.61655635926031E-19,0.0286107909945077,3.9216632841139E-17,0.0286107909945077,0,0,0,0,0,0,package://wheelchair_description4/meshes/wheel_right_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://wheelchair_description4/meshes/wheel_right_link.STL,,WheelLarge-1,Origin_wheel_right_joint2,Axis_wheel_right_joint2,wheel_right_joint,continuous,0.2254,-0.1412875,0.0634999999999999,0,0,0,base_link,1,0,0,,,,,,,,,,,,
imu_link,0.00755272015875446,1.38777878078145E-17,0.000115904777501896,0,0,0,0.000827468902416823,1.6454227951926E-08,-3.78205467064964E-23,-1.30602582965808E-11,4.61688639910209E-08,2.83146128916456E-26,2.98948103591104E-08,0,0,0,0,0,0,package://wheelchair_description4/meshes/imu_link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://wheelchair_description4/meshes/imu_link.STL,,MPU 6050 IMU-1/Base-1,Origin_imu_joint2,Axis_imu_joint2,imu_joint,fixed,-0.100733261466135,-0.2936875,0.552553517585538,-1.5707963267949,0,-1.5707963267949,base_link,0,0,0,0,0,0,0,,,,,,,,
support_small_left_wheel_link,3.0920164970083E-09,-0.00638474408222123,-0.0799407352999411,0,0,0,0.0641233554264919,0.000140602918962705,1.3507335497443E-11,5.21285884011716E-12,0.000150905413000284,-3.0633954788115E-05,4.09045494457963E-05,0,0,0,0,0,0,package://wheelchair_description4/meshes/support_small_left_wheel_link.STL,0.63921568627451,0.666666666666667,0.67843137254902,1,0,0,0,0,0,0,package://wheelchair_description4/meshes/support_small_left_wheel_link.STL,,Caster-1/CasterFork-1,Coordinate System2,Axis4,support_small_left_wheel_joint,prismatic,-0.199999999999999,0.2909375,0.0254000000000003,0,0,0.0327317602083611,base_link,0,0,1,0,0,0,0,,,,,,,,
small_left_wheel_link,0.00166247652694437,2.7210320907689E-05,0,0,0,0,0.229332703676984,0.000769728656519643,1.19971259072454E-05,-1.48204585503721E-20,0.000403723799208418,1.9433732826789E-19,0.000403330971862446,0,0,0,0,0,0,package://wheelchair_description4/meshes/small_left_wheel_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://wheelchair_description4/meshes/small_left_wheel_link.STL,,Caster-1/WheelSmall-1,Origin_small_wheel_left_joint3,Axis1,small_left_wheel_joint,continuous,-0.0016624765274166,-0.0507727896790769,-0.17145,0,0,-0.0327317602083611,support_small_left_wheel_link,0.999464363761359,0.0327259158940083,0,,,,,,,,,,,,
support_small_right_wheel_link,3.09278075372177E-09,-0.0063847442137156,-0.0799407353102148,0,0,0,0.0641233546902537,0.000140602918851413,1.35138787994319E-11,5.22315122629183E-12,0.000150905412892753,-3.06339547563842E-05,4.09045491851717E-05,0,0,0,0,0,0,package://wheelchair_description4/meshes/support_small_right_wheel_link.STL,0.63921568627451,0.666666666666667,0.67843137254902,1,0,0,0,0,0,0,package://wheelchair_description4/meshes/support_small_right_wheel_link.STL,,Caster-2/CasterFork-1,Coordinate System3,Axis3,support_small_right_wheel_joint,revolute,0.2,0.2909375,0.0254000000000003,0,0,-0.124712465134655,base_link,0,0,1,0,0,0,0,,,,,,,,
small_right_wheel_link,-0.00631898339055342,0.000394539493127177,0,0,0,0,0.229332703676984,0.000764446232576705,-4.52705185392711E-05,-8.62154934528908E-21,0.00040900622315136,1.40492002842188E-19,0.000403330971862447,0,0,0,0,0,0,package://wheelchair_description4/meshes/small_right_wheel_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://wheelchair_description4/meshes/small_right_wheel_link.STL,,Caster-2/WheelSmall-1,Origin_small_wheel_left_joint4,Axis2,small_right_wheel_joint,continuous,0.00631898339008463,-0.0504054605069312,-0.17145,0,0,0.124712465134655,support_small_right_wheel_link,0.992233474545896,-0.124389436812694,0,,,,,,,,,,,,
tube_link,0.170007027054015,0.345359678765877,4.44469193436325E-07,0,0,0,1.03216662291609,0.0352755233471946,-1.0664381033316E-06,-9.66232738878756E-10,0.0253397020874312,-8.37057710844843E-08,0.0604991618662575,0,0,0,0,0,0,package://wheelchair_description4/meshes/tube_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheelchair_description4/meshes/tube_link.STL,,tube-1,Origin_tube_joint,Axis_tube_joint,tube_joint,fixed,-0.17,-0.166503529295967,0.611708974901093,1.73824440601458,0,0,base_link,0,0,0,,,,,,,,,,,,
suport_kinect_link,0.00116734552219833,0.00494310729959924,0.0109254371822071,0,0,0,0.256898144695579,0.000226771136319713,-3.18063481278212E-06,-8.24917599994655E-06,0.000343062688227826,-2.66907667833033E-05,0.00035153085488014,0,0,0,0,0,0,package://wheelchair_description4/meshes/suport_kinect_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheelchair_description4/meshes/suport_kinect_link.STL,,SuportKinect-1,Origin_suport_kinect_joint2,Axis_suport_kinect_joint2,suport_kinect_joint,continuous,0.172697001005496,0.56,0,-1.81885081736568,0,0,tube_link,-1,0,0,,,,,,,,,,,,
camera_link,-0.00241075163280263,0.00451435646162344,0.0286246212068969,0,0,0,0.647183807610452,0.00042557158479081,2.52558651725863E-06,1.27610183477841E-06,0.0030051032068036,5.41383880929489E-06,0.00296380421702476,0,0,0,0,0,0,package://wheelchair_description4/meshes/camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wheelchair_description4/meshes/camera_link.STL,,final kinect-1/lower part-1;final kinect-1/kinect upper part-1,Kinect Coordinate,Axis_camera_joint,camera_joint,fixed,-0.00199651859297423,0.00984253252402654,0.0493636184461469,0,0,0,suport_kinect_link,0,0,0,,,,,,,,,,,,
camera_depth_link,0.0155639155870869,0.278728871670869,-0.933684200269818,0,0,0,12.438470549629,2.81145048166711,-0.0020923021235671,0.00112603015073306,2.38161923122449,0.776674605299799,1.36642911206493,0,0,0,0,0,0,package://wheelchair_description4/meshes/camera_depth_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheelchair_description4/meshes/camera_depth_link.STL,,,IR Depth Sensor Coordinate,Axis5,camera_depth_joint,fixed,-0.0172679996722472,0.0332354726616141,0.0356363815538528,0,0,0,camera_link,0,0,0,,,,,,,,,,,,
